cell,navigation_easy,manipulation_easy,navigation_harder,manipulation_harder
P0/R0,1.0/0.0,1.0/0.0,1.0/0.0,1.0/0.0
P0/R1,3.82/2.82,9.0/8.0,6.75/5.75,10.67/9.67
P1/R0,4.82/4.82,10.0/10.0,7.75/7.75,11.67/11.67
P1/R1,4.82/4.82,10.0/10.0,7.75/7.75,11.67/11.67
P2/R0,3.82/3.82,8.0/8.0,6.75/6.75,9.67/9.67
P2/R1,3.82/3.82,8.0/8.0,6.75/6.75,9.67/9.67
