block,family,slice,axes,tasks,runs_per_cell,total_runs,role
Main matrix,Navigation,Easy,P0/P1/P2 x R0/R1,11,11,66,Main ordering
Main matrix,Manipulation,Easy,P0/P1/P2 x R0/R1,3,3,18,Main ordering
Main matrix,Navigation,Harder,P0/P1/P2 x R0/R1,4,4,24,Harder robustness
Main matrix,Manipulation,Harder,P0/P1/P2 x R0/R1,3,3,18,Harder robustness
Action-interface ablation,Mixed,Easy shared subset,P0/P1/P2 at fixed R0,4,4,12,Contract mechanism
Runtime-only ablation,Mixed,Recovery probes,R0/R1 at fixed P1,4,4,8,Runtime recovery
