cell,navigation_easy,manipulation_easy,navigation_harder,manipulation_harder
P0/R0,0/11; 1.0; 0.0,0/3; 1.0; 0.0,0/4; 1.0; 0.0,0/3; 1.0; 0.0
P0/R1,11/11; 1.0; 1.0,3/3; 1.0; 1.0,4/4; 1.0; 1.0,3/3; 1.0; 1.0
P1/R0,11/11; 0.0; 0.0,3/3; 0.0; 0.0,4/4; 0.0; 0.0,3/3; 0.0; 0.0
P1/R1,11/11; 0.0; 0.0,3/3; 0.0; 0.0,4/4; 0.0; 0.0,3/3; 0.0; 0.0
P2/R0,11/11; 0.0; 0.0,3/3; 0.0; 0.0,4/4; 0.0; 0.0,3/3; 0.0; 0.0
P2/R1,11/11; 0.0; 0.0,3/3; 0.0; 0.0,4/4; 0.0; 0.0,3/3; 0.0; 0.0
