cell,navigation_easy,manipulation_easy,navigation_harder,manipulation_harder
P0/R0,S 0/11 (0.0); I 1.0; Rt 0.0; P/T 1.0/0.0,S 0/3 (0.0); I 1.0; Rt 0.0; P/T 1.0/0.0,S 0/4 (0.0); I 1.0; Rt 0.0; P/T 1.0/0.0,S 0/3 (0.0); I 1.0; Rt 0.0; P/T 1.0/0.0
P0/R1,S 11/11 (1.0); I 1.0; Rt 1.0; P/T 3.82/2.82,S 3/3 (1.0); I 1.0; Rt 1.0; P/T 9.0/8.0,S 4/4 (1.0); I 1.0; Rt 1.0; P/T 6.75/5.75,S 3/3 (1.0); I 1.0; Rt 1.0; P/T 10.67/9.67
P1/R0,S 11/11 (1.0); I 0.0; Rt 0.0; P/T 4.82/4.82,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 10.0/10.0,S 4/4 (1.0); I 0.0; Rt 0.0; P/T 7.75/7.75,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 11.67/11.67
P1/R1,S 11/11 (1.0); I 0.0; Rt 0.0; P/T 4.82/4.82,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 10.0/10.0,S 4/4 (1.0); I 0.0; Rt 0.0; P/T 7.75/7.75,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 11.67/11.67
P2/R0,S 11/11 (1.0); I 0.0; Rt 0.0; P/T 3.82/3.82,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 8.0/8.0,S 4/4 (1.0); I 0.0; Rt 0.0; P/T 6.75/6.75,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 9.67/9.67
P2/R1,S 11/11 (1.0); I 0.0; Rt 0.0; P/T 3.82/3.82,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 8.0/8.0,S 4/4 (1.0); I 0.0; Rt 0.0; P/T 6.75/6.75,S 3/3 (1.0); I 0.0; Rt 0.0; P/T 9.67/9.67
